0	0	1	2	3	4	5
0.05	0	1.099247625	2.36181204	3.624376455	4.88694087	6.149505285
0.1	0	4.3969905	9.44724816	14.49750582	19.54776348	24.59802114
0.15	0	9.893228625	21.25630836	32.6193881	43.98246783	55.34554757
0.2	0	17.587962	37.78899264	57.99002328	78.19105392	98.39208456
0.25	0	27.48119063	59.045301	90.60941138	122.1735218	153.7376321
0.3	0	39.5729145	85.02523344	130.4775524	175.9298713	221.3821903
0.35	0	53.86313363	115.72879	177.5944463	239.4601026	301.325759
0.4	0	70.351848	151.1559706	231.9600931	312.7642157	393.5683382
0.45	0	89.03905763	191.3067752	293.5744929	395.8422105	498.1099281
0.5	0	109.9247625	236.181204	362.4376455	488.694087	614.9505285
0.55	0	133.0089626	285.7792568	438.5495511	591.3198453	744.0901395
0.6	0	158.291658	340.1009338	521.9102095	703.7194853	885.528761
0.65	0	185.7728486	399.1462348	612.5196209	825.893007	1039.266393
0.7	0	215.4525345	462.9151598	710.3777852	957.8404105	1205.303036
0.75	0	247.3307156	531.407709	815.4847024	1099.561696	1383.638689
0.8	0	281.407392	604.6238822	927.8403725	1251.056863	1574.273353
0.85	0	317.6825636	682.5636796	1047.444795	1412.325911	1777.207027
0.9	0	356.1562305	765.227101	1174.297971	1583.368842	1992.439712
