459997.00,11.47,14.00,94059.17,187.09,-0.08,-4.93,-0.68,92.81,-10.19,60.44,-3.25,28.56,-2.38,-7.50,67.56,-7.12,-1.73,-9.63,-0.47,1.65,4.70,-0.21,0.55,-0.47,0.35,-0.59,1.00,145.70,10.34,63.42,
460032.00,11.48,14.00,94039.72,188.83,-0.68,-5.77,0.03,93.62,-9.88,63.12,-3.25,28.56,-2.38,-4.00,63.69,-13.12,-1.68,-9.64,-0.62,0.99,3.86,0.65,0.55,-0.48,0.36,-0.58,1.00,145.70,10.34,63.42,
460070.00,11.48,14.00,94023.11,190.31,-0.54,-5.18,-0.01,94.38,-9.69,65.06,-4.25,28.25,-2.00,-1.06,70.62,-9.19,-1.64,-9.63,-0.77,1.44,4.64,0.81,0.54,-0.50,0.37,-0.57,1.00,145.70,10.34,63.42,
460110.00,11.49,14.00,93988.65,193.39,-0.30,-4.38,-0.22,94.88,-9.50,67.81,-5.06,29.06,-0.50,2.75,60.88,8.88,-1.61,-9.63,-0.82,1.01,4.98,0.47,0.53,-0.51,0.38,-0.56,1.00,145.70,10.34,63.42,
460144.00,11.49,14.00,93972.84,194.80,-0.20,-4.97,-0.61,94.81,-9.38,70.38,-2.50,30.25,-1.25,4.56,63.50,13.19,-1.60,-9.63,-0.81,1.40,4.66,0.20,0.52,-0.52,0.39,-0.55,1.00,145.70,10.34,63.42,
460182.00,11.48,14.00,93936.98,198.01,-0.35,-5.45,-0.50,95.00,-9.38,72.75,-2.50,30.25,-1.25,2.62,62.19,0.50,-1.60,-9.63,-0.85,1.24,4.18,0.34,0.51,-0.53,0.40,-0.54,1.00,145.70,10.34,63.42,
460220.00,11.48,14.00,93918.55,199.65,-0.11,-5.48,-0.73,95.38,-9.12,74.88,-3.19,29.25,-1.69,-8.19,75.12,-2.94,-1.53,-9.64,-0.93,1.11,4.39,0.49,0.51,-0.54,0.41,-0.53,1.00,145.70,10.34,63.42,
460257.00,11.49,14.00,93898.27,201.47,-0.40,-4.67,-0.28,96.00,-8.44,78.31,-2.75,28.50,-1.75,-11.00,71.25,-5.25,-1.44,-9.64,-1.01,1.03,4.96,0.73,0.50,-0.55,0.43,-0.51,1.00,145.70,10.34,63.42,
460295.00,11.49,14.00,93867.47,204.22,-0.57,-4.86,-0.25,96.44,-7.81,81.69,-3.56,29.56,-1.75,-5.56,67.94,0.81,-1.33,-9.65,-1.09,0.76,4.78,0.84,0.49,-0.56,0.44,-0.50,1.00,145.70,10.34,63.42,
460331.00,11.39,14.00,93830.14,207.56,-0.45,-5.23,0.15,96.69,-7.56,84.75,-3.56,29.56,-1.75,5.38,68.06,7.19,-1.29,-9.65,-1.13,0.75,4.78,1.50,0.48,-0.57,0.45,-0.49,1.00,145.70,10.34,63.42,
