Monte Carlo initialized
	Thrust varience frequency: 50
	Thrust varience: 100
	Drag deviation: 0.016

Wind:
Pink wind
----------------
alpha: 6.993
alt0: 30.000
speed0: 5.000
direction: 1.858

Iteration           Delta [ms]          Time [ms]           Apogee [m]          
198:                2740                577135              3271.51             
199:                2656                579792              3191.79             
200:                2651                582443              3171.9              
201:                2660                585104              3129.19             
202:                2768                587872              3090.48             
203:                2640                590512              3240.13             
204:                2643                593156              3176.07             
205:                2780                595937              3187.33             
206:                2650                598587              3269.74             
207:                2608                601196              3228.99             
208:                2628                603824              3157.95             
209:                2843                606668              3240.22             
210:                2628                609296              3152.41             
211:                2624                611920              3113.09             
212:                2632                614552              3233.72             
213:                3148                617701              3178.38             
214:                2659                620360              3153.57             
215:                2659                623020              3419.83             
216:                2718                625738              3243.21             
217:                2640                628378              3280.12             
218:                2628                631006              3160.24             
219:                2643                633650              3268.96             
220:                2811                636462              3199.39             
221:                2628                639090              3168.04             
222:                2640                641730              3153.97             
223:                2644                644374              3194.1              
224:                2755                647130              3178.12             
225:                2667                649797              3097.85             
226:                2649                652447              3328.66             
227:                2628                655075              3160.59             
228:                2756                657831              3125.04             
229:                2655                660487              3164.12             
230:                2628                663115              3146.39             
231:                2780                665896              3195.68             
232:                2675                668571              3141.62             
233:                2663                671234              3314.62             
234:                2629                673863              3285.13             
235:                2764                676628              3214.34             
236:                2624                679253              3192.69             
237:                2615                681868              3094.45             
238:                2661                684530              3082.51             
239:                2704                687234              3157.33             
240:                2640                689874              3038.77             
241:                2673                692547              3195.01             
242:                2639                695187              3083.47             
243:                2718                697905              3091.05             
244:                2698                700604              3223.99             
245:                2644                703248              3307.55             
246:                2737                705986              3137.63             
247:                2658                708659              3150.25             
248:                2641                711301              3249.75             
249:                2644                713945              3203.23             
250:                2838                716783              3223.01             
251:                2786                719570              3205.58             
252:                2995                722565              3152.44             
253:                2753                725318              3212.3              
254:                2753                728071              3246.33             
255:                2632                730704              3123.38             
256:                2639                733344              3303.05             
257:                2761                736105              3206.37             
258:                2626                738732              3305.51             
259:                2656                741389              3147.03             
260:                2624                744013              3155.94             
261:                2722                746735              3190.95             
262:                2692                749428              3152.14             
263:                2646                752074              3220.7              
264:                2618                754693              3099.27             
265:                2784                757477              3276.08             
266:                2659                760136              3216.61             
267:                2640                762776              3242.81             
268:                2648                765425              3077.7              
269:                2741                768167              3162.12             
270:                2632                770799              3146.88             
271:                2640                773439              3114.1              
272:                2784                776224              3183.07             
273:                2621                778845              3215.42             
274:                2643                781489              3186.64             
275:                2628                784117              3196.41             
276:                2862                786980              3138.28             
277:                2632                789612              3144.51             
