Monte Carlo initialized
	Thrust varience frequency: 50
	Thrust varience: 100
	Drag deviation: 0.016

Wind:
Pink wind
----------------
alpha: 6.993
alt0: 30.000
speed0: 5.000
direction: 1.858

Iteration           Delta [ms]          Time [ms]           Apogee [m]          
1763:               2608                5380598             3236.3              
1764:               2713                5383312             3327.43             
1765:               2788                5386101             3244.98             
1766:               2624                5388725             3076.18             
1767:               2632                5391360             3115.44             
1768:               2780                5394141             3159.38             
1769:               2659                5396801             3155.05             
1770:               2647                5399453             3062.28             
1771:               2643                5402097             3230.21             
1772:               2733                5404830             3117.91             
1773:               2631                5407462             3218.54             
1774:               2655                5410118             3242.94             
1775:               2741                5412860             3087.96             
1776:               2643                5415504             3256.31             
1777:               2612                5418129             3217.27             
1778:               2655                5420786             3069.11             
1779:               2733                5423519             3149.81             
1780:               2639                5426159             3030.68             
1781:               2608                5428768             3208.55             
1782:               2635                5431403             3115.51             
1783:               2718                5434121             3176.61             
1784:               2643                5436765             3163.31             
1785:               2624                5439390             3136.69             
1786:               2624                5442014             3141.49             
1787:               2718                5444745             3221.57             
1788:               2830                5447575             3283.99             
1789:               2612                5450196             3197.88             
1790:               2675                5452871             3157.45             
1791:               2655                5455527             3217.98             
1792:               2632                5458159             3134.03             
1793:               2658                5460832             3092.97             
1794:               2719                5463552             3316.46             
1795:               2632                5466199             3131.28             
1796:               2640                5468843             3169.47             
1797:               2659                5471502             3141.65             
1798:               2733                5474249             3148.11             
1799:               2682                5476945             3295.8              
1800:               2608                5479569             3232.39             
1801:               2667                5482237             3235.7              
1802:               2737                5484983             3243.51             
1803:               2672                5487655             3153.69             
1804:               2643                5490299             3278.36             
1805:               2764                5493064             3256.71             
1806:               2612                5495680             3178.83             
1807:               2655                5498335             3153.13             
1808:               2647                5500983             3108.9              
1809:               2764                5503748             3248.85             
1810:               2807                5506556             3336.54             
1811:               2655                5509211             3275.53             
1812:               2659                5511871             3210.54             
1813:               2749                5514620             3295.12             
1814:               2640                5517269             3212.64             
1815:               2655                5519925             3214.9              
1816:               2659                5522584             3121.24             
1817:               2722                5525308             3204.61             
1818:               2597                5527911             3158.76             
1819:               2612                5530532             3233.46             
1820:               2722                5533254             3254.4              
1821:               2659                5535916             3130.96             
1822:               2639                5538556             3286.43             
1823:               2690                5541247             3214.54             
1824:               2749                5543996             3193.59             
1825:               2613                5546613             3247.6              
1826:               2651                5549271             3123.08             
1827:               2629                5551900             3158.38             
1828:               2737                5554638             3046.09             
1829:               2608                5557261             3245.21             
1830:               2655                5559917             3093.9              
1831:               2655                5562572             3166.16             
1832:               2846                5565419             3267.58             
1833:               2675                5568094             3108.47             
1834:               2673                5570768             3063.22             
1835:               2719                5573497             2956.26             
1836:               2632                5576130             3212.32             
1837:               2624                5578754             3275.32             
1838:               2628                5581382             3283.43             
1839:               2737                5584120             3192.17             
1840:               2628                5586763             3332.06             
1841:               2655                5589418             3090.61             
1842:               2671                5592090             3121.42             
1843:               2780                5594870             3225.9              
1844:               2680                5597551             3162.5              
1845:               2672                5600223             3180.46             
1846:               2686                5602910             3120.82             
1847:               2733                5605644             3123.57             
1848:               2631                5608281             3162.95             
1849:               2659                5610940             3112.41             
1850:               2706                5613647             3143.69             
1851:               2639                5616287             3179.78             
1852:               2624                5618911             3295.22             
1853:               2639                5621551             3195.37             
1854:               2733                5624285             3135.24             
1855:               2792                5627078             3225.32             
1856:               2628                5629706             3259.6              
1857:               2628                5632338             3172.17             
1858:               2753                5635091             3201.78             
1859:               2624                5637716             3350.84             
1860:               2628                5640344             3043.68             
1861:               2658                5643002             3020.99             
1862:               2692                5645694             3262.9              
1863:               2643                5648338             3234.09             
1864:               2628                5650966             3078.92             
1865:               2753                5653720             3219.81             
1866:               2624                5656344             3186.82             
1867:               2643                5658988             3223.71             
1868:               2628                5661628             3250.93             
1869:               2706                5664345             3144.06             
1870:               2655                5667000             3100.08             
1871:               2659                5669660             3186.69             
1872:               2671                5672331             3132.52             
1873:               2733                5675066             3186.35             
1874:               2640                5677706             3104.59             
1875:               2624                5680331             3255.8              
1876:               2671                5683002             3173.95             
1877:               2858                5685861             3145.76             
1878:               2646                5688507             3224.43             
1879:               2643                5691151             3246.13             
1880:               2722                5693873             3274.58             
1881:               2640                5696513             3221.0              
1882:               2643                5699157             3164.15             
1883:               2624                5701783             3183.39             
1884:               2788                5704571             3152.49             
1885:               2671                5707242             3155.85             
1886:               2612                5709857             3237.67             
1887:               2624                5712481             3065.38             
1888:               2721                5715203             3150.0              
1889:               2624                5717833             3176.63             
1890:               2659                5720493             3149.44             
1891:               2702                5723208             3184.02             
1892:               2640                5725848             3254.85             
1893:               2624                5728472             3132.08             
1894:               2640                5731113             3089.79             
1895:               2728                5733842             3214.73             
1896:               2655                5736497             3084.88             
1897:               2647                5739145             3247.09             
1898:               2639                5741785             3401.45             
1899:               2799                5744585             3213.23             
1900:               2796                5747382             3202.18             
1901:               2659                5750042             3250.37             
1902:               2608                5752650             3169.03             
1903:               2721                5755372             3348.74             
1904:               2608                5757983             3235.41             
1905:               2628                5760611             3216.53             
1906:               2768                5763380             3108.47             
1907:               2643                5766024             3128.75             
1908:               2643                5768668             3254.91             
1909:               2640                5771308             3214.18             
1910:               2753                5774061             3167.6              
1911:               2619                5776681             3170.73             
1912:               2608                5779289             3140.88             
1913:               2624                5781914             3242.78             
1914:               2743                5784657             3089.34             
1915:               2624                5787281             3259.54             
1916:               2650                5789946             3156.31             
1917:               2657                5792604             3087.54             
1918:               2733                5795337             3202.39             
1919:               2612                5797950             3094.2              
1920:               2655                5800606             3128.01             
1921:               2780                5803386             3135.36             
1922:               2842                5806228             3128.91             
1923:               2615                5808846             3126.73             
1924:               2655                5811503             3188.76             
1925:               2706                5814210             3045.38             
1926:               2639                5816850             3198.91             
1927:               2628                5819480             3334.93             
1928:               2655                5822136             3141.58             
1929:               2772                5824913             3142.05             
1930:               2659                5827572             3147.34             
1931:               2659                5830232             3089.07             
1932:               2639                5832872             3268.94             
1933:               2730                5835604             3240.87             
1934:               2612                5838224             3264.65             
1935:               2628                5840866             3196.39             
1936:               2753                5843626             3161.83             
1937:               2643                5846273             3238.29             
1938:               2640                5848913             3245.25             
1939:               2608                5851522             3125.47             
1940:               2749                5854271             3140.78             
1941:               2639                5856911             3181.58             
1942:               2671                5859583             3116.5              
1943:               2686                5862270             3205.13             
1944:               2811                5865082             3130.88             
1945:               2728                5867810             3237.59             
1946:               2628                5870453             3131.44             
1947:               2594                5873047             3025.25             
1948:               2706                5875766             3170.14             
1949:               2662                5878428             3134.36             
1950:               2656                5881085             3054.12             
1951:               2737                5883825             3195.98             
1952:               2628                5886453             3340.74             
1953:               2628                5889082             3223.52             
1954:               2624                5891720             3339.68             
1955:               2768                5894489             3182.26             
1956:               2648                5897138             3193.39             
1957:               2628                5899766             3256.88             
1958:               2640                5902409             3156.31             
1959:               2718                5905127             3194.25             
1960:               2624                5907751             3264.99             
1961:               2655                5910407             3191.91             
1962:               2686                5913094             3189.59             
1963:               2718                5915819             3199.71             
1964:               2593                5918412             3159.19             
1965:               2671                5921098             3109.5              
1966:               2741                5923839             3094.49             
1967:               2793                5926638             3197.01             
1968:               2628                5929267             3091.23             
1969:               2646                5931913             3125.09             
1970:               2737                5934650             3173.89             
1971:               2608                5937259             3076.1              
1972:               2628                5939887             3238.25             
1973:               2628                5942516             3108.32             
1974:               2722                5945238             3235.39             
1975:               2659                5947897             3093.03             
1976:               2686                5950594             3155.48             
1977:               2655                5953250             3128.47             
1978:               2781                5956031             3246.81             
1979:               2628                5958659             3123.55             
1980:               2628                5961289             3109.06             
1981:               2763                5964062             3118.64             
1982:               2662                5966724             3079.31             
1983:               2608                5969333             3151.8              
1984:               2644                5971977             3192.48             
1985:               2706                5974699             3123.79             
1986:               2643                5977343             3184.16             
1987:               2608                5979952             3121.98             
1988:               2640                5982592             3127.01             
1989:               2880                5985472             3054.48             
1990:               2641                5988113             3145.8              
1991:               2628                5990742             3087.08             
1992:               2678                5993421             3159.67             
1993:               2702                5996123             3210.74             
1994:               2639                5998763             3238.12             
1995:               2655                6001419             3226.31             
1996:               2733                6004152             3205.92             
1997:               2631                6006784             3011.41             
1998:               2628                6009412             3394.77             
1999:               2655                6012068             3101.93             
2000:               2741                6014809             3254.5              
2001:               2628                6017438             3142.01             
2002:               2600                6020038             3123.49             
2003:               2624                6022663             3241.61             
2004:               2737                6025403             3176.94             
2005:               2639                6028043             3212.65             
2006:               2612                6030660             3230.22             
2007:               2639                6033300             3055.23             
2008:               2749                6036049             3332.62             
2009:               2608                6038658             3223.08             
2010:               2624                6041282             3145.57             
2011:               2733                6044016             3185.23             
2012:               2847                6046866             3088.28             
2013:               2659                6049525             3257.83             
2014:               2644                6052169             3142.83             
2015:               2751                6054921             3142.21             
2016:               2625                6057559             3146.69             
2017:               2675                6060241             3246.76             
2018:               2689                6062931             3138.61             
2019:               2723                6065662             3250.03             
2020:               2640                6068317             3174.37             
2021:               2612                6070932             3051.74             
2022:               2718                6073650             3306.5              
2023:               2664                6076314             3193.91             
2024:               2639                6078954             3073.96             
2025:               2678                6081633             3161.65             
2026:               2718                6084351             3093.58             
2027:               2624                6086976             3084.87             
2028:               2639                6089616             3262.28             
2029:               2655                6092279             3179.84             
2030:               2702                6094988             3258.45             
2031:               2655                6097652             3163.19             
2032:               2655                6100308             3277.34             
2033:               2678                6102986             3061.44             
2034:               2906                6105893             3297.88             
2035:               2675                6108568             3188.56             
2036:               2624                6111196             3326.27             
2037:               2722                6113926             3072.46             
2038:               2655                6116581             3272.18             
2039:               2612                6119203             3207.19             
2040:               2643                6121847             3064.24             
2041:               2737                6124585             3233.93             
2042:               2640                6127240             3092.84             
2043:               2598                6129846             3191.59             
2044:               2645                6132491             3346.03             
2045:               2733                6135233             3237.89             
2046:               2640                6137889             3097.97             
2047:               2612                6140502             3122.39             
2048:               2643                6143145             3174.33             
2049:               2796                6145942             3232.2              
2050:               2612                6148561             3227.03             
2051:               2624                6151185             3201.24             
2052:               2737                6153933             3282.5              
2053:               2640                6156576             3177.88             
2054:               2643                6159219             3240.04             
2055:               2655                6161875             3340.29             
2056:               2737                6164613             3306.14             
2057:               2767                6167380             3208.82             
2058:               2614                6169994             3230.33             
2059:               2640                6172634             3067.38             
2060:               2722                6175357             3269.9              
2061:               2639                6177997             3208.5              
2062:               2628                6180626             3110.02             
2063:               2647                6183289             3210.13             
2064:               2722                6186011             3139.91             
2065:               2632                6188643             3310.52             
2066:               2640                6191283             3265.35             
2067:               2722                6194005             3180.5              
2068:               2639                6196644             3160.68             
2069:               2628                6199273             3177.06             
2070:               2674                6201950             3343.19             
2071:               2721                6204685             3186.98             
2072:               2624                6207310             3279.43             
2073:               2675                6209999             3102.4              
2074:               2656                6212656             3162.2              
2075:               2718                6215381             3203.74             
2076:               2608                6217990             3122.81             
2077:               2640                6220630             3102.79             
2078:               2624                6223254             3261.74             
2079:               2883                6226145             3255.73             
2080:               2686                6228832             3271.18             
2081:               2631                6231463             3250.9              
2082:               2769                6234232             3196.06             
2083:               2655                6236887             3174.72             
2084:               2659                6239547             3204.98             
2085:               2608                6242157             3087.91             
2086:               2753                6244911             3264.62             
2087:               2611                6247522             3256.6              
2088:               2613                6250136             3085.01             
2089:               2624                6252760             3145.18             
2090:               2728                6255489             3146.25             
2091:               2612                6258102             3265.78             
2092:               2643                6260746             3122.11             
2093:               2608                6263355             3186.16             
2094:               2718                6266073             3193.29             
2095:               2655                6268729             3145.53             
2096:               2624                6271353             3246.56             
2097:               2756                6274109             3148.14             
2098:               2970                6277080             3216.16             
2099:               2828                6279909             3053.03             
2100:               2675                6282584             3232.83             
2101:               2905                6285490             3161.34             
2102:               2628                6288118             3164.25             
2103:               2648                6290766             3261.91             
2104:               2612                6293379             3256.66             
2105:               2733                6296113             3209.97             
2106:               2628                6298741             3139.44             
2107:               2671                6301412             3139.6              
2108:               2768                6304181             3124.54             
2109:               2675                6306865             3172.03             
2110:               2675                6309540             3306.34             
2111:               2673                6312214             3162.98             
2112:               2735                6314949             3079.87             
2113:               2653                6317603             3228.35             
2114:               2659                6320262             3152.12             
2115:               2616                6322880             3216.63             
2116:               2749                6325629             3135.61             
2117:               2648                6328290             3036.75             
2118:               2624                6330914             3265.48             
2119:               2637                6333552             3225.78             
2120:               2702                6336254             3184.52             
2121:               2647                6338902             3110.17             
2122:               2686                6341603             3176.62             
2123:               2766                6344369             3161.24             
2124:               2776                6347146             3277.86             
2125:               2639                6349786             3163.16             
2126:               2624                6352411             3265.32             
2127:               2756                6355168             3163.18             
2128:               2639                6357808             3173.27             
2129:               2643                6360452             3142.7              
2130:               2640                6363092             3239.89             
2131:               2733                6365825             3207.25             
2132:               2624                6368450             3155.38             
2133:               2686                6371137             3235.02             
2134:               2678                6373818             3126.52             
2135:               2673                6376491             3166.96             
2136:               2643                6379135             3194.09             
2137:               2640                6381775             3250.53             
2138:               2732                6384508             3356.02             
2139:               2639                6387148             3139.95             
2140:               2642                6389801             3095.12             
2141:               2660                6392462             3193.59             
2142:               2722                6395184             3118.86             
2143:               2655                6397855             3244.11             
2144:               2647                6400505             3112.22             
2145:               2639                6403145             3166.22             
2146:               2877                6406023             3154.34             
2147:               2675                6408698             3158.32             
2148:               2612                6411311             3127.88             
2149:               2718                6414042             3182.21             
2150:               2659                6416701             3205.82             
2151:               2608                6419310             3160.6              
2152:               2597                6421919             3153.43             
2153:               2840                6424773             3230.75             
2154:               2598                6427372             3184.47             
2155:               2643                6430015             3304.91             
2156:               2659                6432690             3222.91             
2157:               2721                6435414             3101.3              
2158:               2666                6438080             3232.29             
2159:               2654                6440734             3209.38             
2160:               2612                6443347             3278.03             
2161:               2768                6446116             3077.6              
2162:               2671                6448787             3182.49             
2163:               2628                6451419             3320.05             
2164:               2702                6454122             3246.45             
2165:               2648                6456770             3213.24             
2166:               2624                6459394             3210.51             
2167:               2921                6462316             3170.82             
2168:               2796                6465124             3170.14             
2169:               2732                6467868             3173.11             
2170:               2646                6470515             3218.44             
2171:               2629                6473147             3391.2              
2172:               2784                6475931             3278.07             
2173:               2655                6478587             3204.73             
2174:               2612                6481202             3295.88             
2175:               2640                6483843             3128.02             
2176:               2780                6486623             3275.19             
2177:               2628                6489251             3193.78             
2178:               2643                6491895             3231.46             
2179:               2718                6494613             3221.2              
2180:               2644                6497258             3204.03             
2181:               2655                6499914             3126.01             
2182:               2640                6502554             3260.15             
2183:               2724                6505281             3254.52             
2184:               2640                6507921             3164.1              
2185:               2678                6510599             3230.33             
2186:               2659                6513258             3049.08             
2187:               2784                6516056             3184.3              
2188:               2655                6518712             3101.84             
2189:               2655                6521368             3238.3              
2190:               2764                6524133             3191.05             
2191:               2804                6526937             3287.71             
2192:               2659                6529596             3074.22             
2193:               2624                6532228             3198.01             
2194:               2737                6534966             3324.58             
2195:               2624                6537590             3181.32             
2196:               2628                6540219             3112.02             
2197:               2641                6542860             3187.89             
2198:               2725                6545585             3232.9              
2199:               2639                6548225             3170.73             
2200:               2706                6550938             3222.93             
2201:               2623                6553562             3059.69             
2202:               2682                6556245             3274.42             
2203:               2675                6558935             3231.35             
2204:               2628                6561564             3232.03             
2205:               2737                6564311             3133.84             
2206:               2637                6566948             3078.02             
2207:               2671                6569619             3078.21             
2208:               2640                6572273             3139.5              
2209:               2733                6575007             3214.82             
2210:               2655                6577662             3118.66             
2211:               2629                6580292             3223.25             
2212:               2650                6582945             3299.29             
2213:               2893                6585839             3076.06             
2214:               2642                6588482             3110.41             
2215:               2645                6591127             3172.18             
2216:               2643                6593771             3200.54             
2217:               2739                6596511             3285.84             
2218:               2666                6599177             3163.6              
2219:               2676                6601853             3115.09             
2220:               2768                6604622             3158.2              
2221:               2624                6607257             3186.48             
2222:               2628                6609885             3205.83             
2223:               2624                6612509             3178.26             
2224:               2772                6615282             3251.96             
2225:               2650                6617933             3248.27             
2226:               2624                6620557             3127.61             
2227:               2624                6623182             3113.49             
2228:               2733                6625915             3179.94             
2229:               2655                6628571             3248.47             
2230:               2640                6631222             3224.78             
2231:               2624                6633853             3087.93             
2232:               2733                6636592             3071.89             
2233:               2655                6639248             3251.31             
2234:               2608                6641857             3216.97             
2235:               2729                6644597             3141.1              
2236:               2773                6647371             3088.65             
2237:               2612                6649983             3026.89             
2238:               2640                6652623             3320.59             
2239:               2753                6655377             3275.89             
2240:               2640                6658017             2972.76             
2241:               2647                6660664             3248.6              
2242:               2626                6663291             3184.28             
2243:               2735                6666035             3183.08             
2244:               2624                6668659             3166.1              
2245:               2640                6671306             3219.32             
2246:               2624                6673930             3138.6              
2247:               2749                6676680             3235.4              
2248:               2631                6679311             3359.04             
2249:               2640                6681963             3148.75             
2250:               2736                6684699             3122.83             
2251:               2660                6687360             3165.38             
2252:               2671                6690031             3299.15             
2253:               2675                6692707             3234.66             
2254:               2737                6695444             3193.0              
2255:               2624                6698068             3213.46             
2256:               2628                6700697             3280.91             
2257:               2655                6703352             3283.35             
2258:               2851                6706204             3178.35             
2259:               2612                6708824             3141.74             
2260:               2639                6711464             3270.42             
2261:               2727                6714191             3182.5              
2262:               2640                6716831             3235.52             
2263:               2643                6719475             3161.65             
2264:               2706                6722188             3159.26             
2265:               2721                6724910             3112.34             
2266:               2659                6727569             3323.68             
2267:               2608                6730189             3242.76             
2268:               2643                6732833             3114.13             
2269:               2749                6735582             3313.5              
2270:               2616                6738199             3151.71             
2271:               2659                6740858             3184.6              
2272:               2629                6743488             3173.63             
2273:               2723                6746211             3053.06             
2274:               2601                6748812             3053.37             
2275:               2672                6751485             3249.42             
2276:               2639                6754125             3160.79             
2277:               2702                6756827             3195.91             
2278:               2655                6759486             3229.44             
2279:               2670                6762156             3060.3              
2280:               2771                6764928             3320.16             
2281:               2785                6767713             3099.49             
2282:               2644                6770357             3208.0              
2283:               2671                6773028             3194.32             
2284:               2753                6775793             3260.73             
2285:               2612                6778405             3183.89             
2286:               2632                6781038             3090.03             
2287:               2655                6783704             3204.61             
2288:               2753                6786465             3263.95             
2289:               2626                6789092             3114.91             
2290:               2625                6791717             3168.58             
2291:               2721                6794446             3207.58             
2292:               2631                6797078             3293.22             
2293:               2655                6799742             3268.22             
2294:               2640                6802382             3116.05             
2295:               2749                6805131             3156.64             
2296:               2640                6807787             3155.5              
2297:               2635                6810431             3049.69             
2298:               2639                6813071             3190.83             
2299:               2753                6815825             3220.14             
2300:               2671                6818496             3177.13             
2301:               2624                6821126             3050.35             
2302:               2662                6823800             3156.82             
2303:               2877                6826687             3097.88             
2304:               2616                6829304             3256.31             
2305:               2639                6831944             3105.97             
2306:               2753                6834697             3114.06             
2307:               2624                6837322             3226.89             
2308:               2628                6839950             3245.88             
2309:               2624                6842574             3200.92             
2310:               2741                6845316             3237.9              
2311:               2655                6847971             3130.54             
2312:               2612                6850584             3229.5              
2313:               2659                6853244             3332.14             
2314:               2807                6856051             3312.0              
2315:               2641                6858692             3179.28             
2316:               2632                6861324             3065.64             
2317:               2655                6863980             3109.89             
2318:               2765                6866749             3313.51             
